Start	Stop	Strand	Number of Genes	Genes
2552900	2554826	-	2	PA14_29440, PA14_29460
2556397	2560109	+	3	PA14_29480, PA14_29490, PA14_29500
2560163	2564671	+	7	PA14_29510, PA14_29520, PA14_29530, PA14_29540, PA14_29550, PA14_29560, PA14_29570
2568133	2570805	+	3	fhp, PA14_29650, PA14_29660
2571056	2573058	-	2	PA14_29680, PA14_29690
2573273	2575900	+	4	PA14_29710, PA14_29720, PA14_29730, PA14_29740
2584180	2589357	-	4	nuoN, nuoM, nuoL, nuoK
2589403	2594184	-	4	nuoJ, nuoI, nuoH, nuoG
2594316	2597945	-	3	nuoF, nuoE, nuoD
2598026	2599127	-	2	nuoB, nuoA
2604748	2611923	-	8	PA14_30070, PA14_30080, PA14_30090, PA14_30100, purB, PA14_30130, PA14_30140, mnmA
2616936	2619608	+	2	clpS, clpA
2620013	2622443	-	3	PA14_30260, aat, trxB1
2622671	2627093	+	3	ftsK, lolA, PA14_30320
2627215	2629894	+	2	serS, cysG
2629899	2633329	-	6	PA14_30350, PA14_30360, PA14_30370, PA14_30380, PA14_30390, PA14_30400
2634462	2636647	-	2	PA14_30430, PA14_30440
2637996	2642265	+	4	PA14_30460, PA14_30470, PA14_30490, PA14_30500
2642373	2644327	+	2	PA14_30520, PA14_30540
2648473	2652352	+	2	PA14_30590, PA14_30600
2655504	2658569	+	3	gacA, uvrC, pgsA
2668775	2669787	-	2	PA14_30760, PA14_30770
2678435	2682782	-	4	PA14_30850, PA14_30860, PA14_30870, PA14_30880
2683111	2686286	-	2	PA14_30900, PA14_30910
2686568	2690485	-	4	PA14_30930, PA14_30940, PA14_30950, PA14_30960
2692127	2699525	-	6	PA14_30980, PA14_30990, PA14_31000, PA14_31010, PA14_31030, PA14_31040
2699666	2705649	-	6	PA14_31050, PA14_31060, PA14_31070, PA14_31080, PA14_31090, PA14_31100
2705903	2707950	-	2	PA14_31110, PA14_31130
2708860	2709337	+	2	PA14_31160, PA14_31170
2718848	2721213	-	2	PA14_31270, PA14_31280
2726001	2728303	+	3	PA14_31350, PA14_31360, PA14_31370
2735341	2738189	+	2	PA14_31470, PA14_31480
2738366	2743184	+	4	PA14_31500, PA14_31510, PA14_31530, PA14_31540
2747020	2749379	-	2	PA14_31620, PA14_31630
2751825	2757226	+	2	PA14_31680, PA14_31690
2758086	2763218	+	5	PA14_31720, PA14_31730, PA14_31740, PA14_31750, PA14_31760
2769040	2771798	-	2	PA14_31840, PA14_31850
2772055	2781063	+	4	PA14_31870, PA14_31890, PA14_31900, PA14_31920
2781439	2783528	-	2	PA14_31950, PA14_31960
2791292	2794978	+	4	xylX, xylY, xylZ, benD
2794984	2797907	-	3	antC, antB, antA
2800268	2801711	+	2	catB, catC
2808672	2811000	-	3	PA14_32330, PA14_32340, PA14_32350
2812739	2818608	-	3	oprN, mexF, mexE
2821052	2823116	-	3	PA14_32440, PA14_32450, PA14_32460
2823512	2824001	-	2	PA14_32480, PA14_32490
2825911	2827442	+	2	PA14_32530, PA14_32540
2827632	2829631	-	2	PA14_32570, PA14_32580
2829794	2833166	+	3	PA14_32590, PA14_32600, dsbG
2834555	2837511	-	3	PA14_32640, PA14_32650, PA14_32660
2837589	2839361	-	2	PA14_32670, gtdA
2840489	2842002	+	2	PA14_32710, PA14_32720
2844726	2846445	+	2	PA14_32750, PA14_32770
2870581	2874218	-	2	PA14_32830, PA14_32840
2876533	2877917	-	2	PA14_32860, PA14_32880
2885721	2888994	+	2	gcvH2, gcvP2
2889137	2893032	+	3	glyA2, sdaA, gcvT2
2893079	2894922	-	2	PA14_33050, PA14_33060
2895611	2899673	+	3	PA14_33070, PA14_33080, PA14_33110
2899827	2902817	+	3	PA14_33120, PA14_33130, PA14_33150
2904651	2908025	+	3	PA14_33190, PA14_33200, PA14_33220
2911261	2925127	+	2	pvdG, pvdL
2927517	2931397	-	4	PA14_33300, PA14_33310, PA14_33320, PA14_33330
2931455	2935656	-	2	PA14_33340, PA14_33350
2938495	2940867	-	2	PA14_33380, PA14_33410
2940949	2942587	-	2	PA14_33420, PA14_33430
2945626	2947363	+	2	PA14_33460, sndH
2947542	2950012	+	3	pvdH, PA14_33510, PA14_33520
2950112	2956296	-	8	PA14_33530, PA14_33540, PA14_33550, PA14_33560, PA14_33570, PA14_33580, PA14_33590, PA14_33600
2956615	2985995	+	3	PA14_33610, pvdJ, pvdD
2991632	2995167	-	3	pvdO, pvdN, PA14_33730
2997066	3001662	-	3	PA14_33750, PA14_33760, PA14_33770
3011096	3013878	+	2	PA14_33890, PA14_33900
3017037	3029709	-	11	PA14_33940, PA14_33960, PA14_33970, PA14_33980, PA14_33990, PA14_34000, PA14_34010, PA14_34020, PA14_34030, PA14_34050, PA14_34070
3029917	3037469	+	5	PA14_34080, PA14_34100, PA14_34110, PA14_34130, PA14_34140
3039326	3043382	+	4	msuE, msuD, PA14_34200, PA14_34210
3046079	3052517	-	6	PA14_34260, PA14_34270, PA14_34280, PA14_34290, PA14_34300, PA14_34320
3055176	3061107	-	5	mtlY, mtlD, PA14_34370, PA14_34390, PA14_34410
3064789	3069225	+	5	PA14_34460, PA14_34490, PA14_34500, PA14_34510, PA14_34520
3070920	3073445	-	2	PA14_34550, PA14_34580
3075453	3076974	-	2	PA14_34610, gnuT
3079172	3080868	-	2	PA14_34670, PA14_34680
3081983	3084411	+	2	PA14_34700, PA14_34710
3084472	3086083	-	3	PA14_34720, PA14_34730, PA14_34740
3087301	3090062	+	3	PA14_34770, PA14_34780, PA14_34790
3090885	3103774	+	5	PA14_34810, PA14_34820, PA14_34830, PA14_34840, PA14_34850
3105621	3108422	+	3	PA14_34880, PA14_34900, PA14_34920
3108760	3110003	+	2	PA14_34930, PA14_34940
3116940	3122326	-	6	PA14_35010, PA14_35020, PA14_35030, PA14_35040, PA14_35050, PA14_35060
3123481	3126334	-	4	PA14_35080, arsC, arsB, arsR
3131350	3132463	-	2	PA14_35200, PA14_35210
3135932	3139757	-	3	PA14_35270, gnd, PA14_35300
3139925	3145119	-	5	PA14_35320, PA14_35330, PA14_35340, PA14_35360, ptxS
3146722	3148864	-	2	pvcD, pvcC
3148916	3150795	-	2	pvcB, pvcA
3154662	3159628	-	4	lpdV, bkdB, bkdA2, bkdA1
3160432	3161766	-	2	pslO, pslN
3164893	3174547	-	7	pslK, pslJ, pslI, pslH, pslG, pslF, pslE
3177507	3180880	+	2	PA14_35740, PA14_35750
3181060	3184587	-	4	PA14_35760, PA14_35770, PA14_35780, PA14_35790
3184999	3187047	-	2	PA14_35800, PA14_35810
3188265	3190406	+	3	tnpT, PA14_35840, PA14_35850
3192371	3195094	+	2	PA14_35880, PA14_35890
3196396	3198149	-	2	PA14_35920, PA14_35930
3200165	3203704	-	4	PA14_35950, PA14_35970, PA14_35980, PA14_35990
3206340	3209256	-	2	PA14_36020, PA14_36030
3211626	3215177	-	3	PA14_36060, PA14_36070, PA14_36080
3216786	3220073	-	3	pdxA, PA14_36110, PA14_36120
3220256	3223428	+	3	PA14_36130, PA14_36150, PA14_36170
3225300	3227582	+	3	PA14_36200, PA14_36220, PA14_36230
3230292	3232551	-	3	PA14_36270, PA14_36280, PA14_36290
3233419	3236380	-	3	hcnC, hcnB, hcnA
3238696	3240360	-	2	PA14_36360, PA14_36370
3240498	3242856	+	2	PA14_36375, PA14_36390
3246017	3246967	+	2	PA14_36450, PA14_36460
3247591	3249795	-	4	PA14_36480, PA14_36490, PA14_36500, PA14_36520
3250575	3252445	-	2	PA14_36540, PA14_36550
3253507	3269784	+	12	glgA, PA14_36580, PA14_36590, PA14_36605, PA14_36620, PA14_36630, PA14_36650, PA14_36660, PA14_36670, PA14_36680, PA14_36690, PA14_36700
3269786	3277288	-	3	glgB, PA14_36730, PA14_36740
3277432	3281688	-	6	PA14_36760, PA14_36770, PA14_36780, PA14_36790, katE, PA14_36820
3282592	3285370	-	2	glgP, PA14_36850
3285822	3287711	-	4	PA14_36870, PA14_36880, PA14_36890, PA14_36900
3287787	3290863	-	2	ligD, PA14_36920
3290965	3291964	+	2	PA14_36930, PA14_36940
3291942	3293907	-	2	PA14_36960, PA14_36980
3294000	3300902	-	6	PA14_36990, cupA5, cupA4, cupA3, cupA2, cupA1
3304080	3307187	-	2	PA14_37090, PA14_37100
3307292	3309397	-	2	PA14_37120, PA14_37130
3310576	3312133	+	2	PA14_37150, PA14_37170
3317016	3322509	+	6	PA14_37250, PA14_37260, PA14_37270, PA14_37290, PA14_37310, PA14_37320
3325268	3328426	-	3	PA14_37360, PA14_37370, PA14_37380
3330603	3332065	-	2	PA14_37420, PA14_37430
3332168	3338374	-	4	PA14_37440, PA14_37460, PA14_37470, PA14_37490
3338466	3343233	-	5	PA14_37510, PA14_37520, PA14_37530, PA14_37550, PA14_37560
3345406	3347301	+	2	kynB, PA14_37610
3349149	3352967	+	2	PA14_37640, PA14_37650
3364838	3369074	+	4	PA14_37745, PA14_37760, PA14_37770, PA14_37780
3369223	3372095	+	2	pcoA, pcoB
3374868	3382925	-	5	PA14_37840, PA14_37850, PA14_37870, PA14_37880, PA14_37900
3387041	3388213	+	2	cynT, cynS
3388251	3389707	-	2	PA14_37980, PA14_37990
3404017	3405074	+	2	PA14_38160, PA14_38170
3409721	3411303	-	2	PA14_38210, PA14_38220
3413042	3413550	+	2	PA14_38260, PA14_38270
3413625	3414421	-	2	PA14_38290, PA14_38300
3421686	3426029	+	2	PA14_38395, amrB
3427393	3429009	+	2	gnyR, gnyD
3429132	3434437	+	4	gnyB, gnyH, gnyA, gnyL
3435469	3440142	+	4	hmgA, fahA, maiA, PA14_38560
3441918	3444113	+	2	PA14_38580, bdhA
3447272	3448661	-	2	PA14_38640, PA14_38660
3451794	3453007	+	3	ppiC1, PA14_38710, PA14_38720
3454285	3457216	-	2	PA14_38740, PA14_38750
3457302	3462201	-	5	PA14_38770, pqqE, pqqD, pqqC, pqqB
3467639	3469164	-	3	PA14_38900, PA14_38910, PA14_38920
3469644	3471182	+	2	PA14_38930, PA14_38950
3471184	3474922	-	2	PA14_38970, PA14_38990
3482981	3483653	-	2	PA14_39070, PA14_39080
3491319	3492418	+	2	PA14_39200, PA14_39210
3492721	3493778	+	2	PA14_39220, PA14_39230
3494919	3496365	+	2	PA14_39250, PA14_39260
3497825	3503357	-	5	rbsK, rbsR, rbsC, rbsA, rbsB
3506718	3508107	+	2	PA14_39410, PA14_39420
3517005	3520704	-	3	PA14_39520, PA14_39530, PA14_39540
3528236	3534841	-	4	PA14_39620, PA14_39630, cobN, PA14_39650
3538047	3538888	+	2	PA14_39700, PA14_39710
3539082	3540842	+	2	PA14_39720, PA14_39730
3540887	3543730	+	2	PA14_39750, PA14_39770
3546403	3547856	+	2	PA14_39800, PA14_39810
3548064	3551670	+	2	PA14_39820, PA14_39830
3551857	3555284	+	3	PA14_39850, PA14_39860, PA14_39870
3555459	3561732	-	7	phzG2, phzF2, phzE2, phzD2, phzC2, phzB2, phzA2
3563689	3571139	+	7	PA14_39990, PA14_40010, PA14_40020, PA14_40030, PA14_40040, PA14_40050, PA14_40060
3573078	3575139	+	2	PA14_40100, PA14_40110
3578742	3579476	-	2	PA14_40160, PA14_40170
3579807	3582468	+	2	PA14_40180, PA14_40200
3582626	3583846	+	2	PA14_40210, PA14_40220
3583955	3595940	-	4	PA14_40230, PA14_40240, PA14_40250, PA14_40260
3597214	3599088	+	2	PA14_40270, PA14_40280
3601871	3604715	-	2	xqhA, PA14_40330
3605156	3609101	-	2	PA14_40350, PA14_40370
3610001	3612542	+	3	modA, modB, modC
3613477	3615194	+	2	PA14_40440, str
3618097	3621012	+	3	ccoN-2, PA14_40520, PA14_40540
3623926	3626369	+	3	PA14_40600, PA14_40610, PA14_40620
3631084	3635165	+	2	metH, PA14_40690
3635217	3636090	-	2	PA14_40700, PA14_40710
3636128	3637460	+	2	PA14_40730, PA14_40740
3637871	3640010	+	2	cysI, PA14_40780
3640779	3642186	+	2	PA14_40800, PA14_40820
3645827	3647689	+	2	PA14_40880, PA14_40890
3651137	3654513	-	3	nudC, PA14_40960, PA14_40980
3656223	3659857	-	2	PA14_41010, PA14_41020
3661273	3662483	-	2	rnhA, PA14_41070
3662879	3665043	+	2	PA14_41080, mltD
3665234	3673451	+	6	PA14_41110, PA14_41130, PA14_41140, PA14_41150, PA14_41160, fabI
3679967	3682012	-	2	clpP, tig
3682244	3684238	+	2	PA14_41260, PA14_41270
3684343	3686288	+	2	PA14_41280, PA14_41290
3688547	3691609	-	2	cysS, glnS
3691732	3692956	+	2	ppiB, PA14_41400
3699817	3701620	+	2	nasS, nasT
3706047	3712378	+	4	nirB, nirD, PA14_41560, cobA
3713608	3715351	-	3	sigX, PA14_41590, PA14_41610
3721917	3724975	+	3	PA14_41690, PA14_41710, PA14_41730
3725032	3730194	-	5	PA14_41740, PA14_41750, PA14_41760, PA14_41780, PA14_41790
3730426	3735857	-	2	PA14_41800, PA14_41810
3738178	3739393	+	2	cysH, PA14_41860
3741216	3742540	-	2	panE, PA14_41910
3747130	3747615	+	2	PA14_41990, PA14_42000
3749019	3751011	-	2	PA14_42030, PA14_42050
3752461	3755824	-	2	PA14_42080, PA14_42090
3758224	3762202	-	4	PA14_42130, PA14_42140, PA14_42150, PA14_42160
3768667	3777526	-	13	pscL, pscK, pscJ, pscI, pscH, pscG, pscF, pscE, pscD, pscC, pscB, PA14_42380, exsA
3777824	3778937	-	3	exsB, PA14_42410, exsC
3779064	3787576	-	12	popD, popB, pcrH, pcrV, pcrG, pcrR, pcrD, PA14_42510, PA14_42520, PA14_42530, PA14_42540, popN
3787767	3794344	+	8	pscN, pscO, pscP, pscQ, pscR, PA14_42630, pscT, pscU
3794450	3797424	-	2	PA14_42670, PA14_42680
3799743	3803935	-	5	masA, PA14_42730, PA14_42740, PA14_42750, aroC
3807762	3809319	+	3	PA14_42830, PA14_42840, folE
3810500	3826622	-	12	stk1, stp1, PA14_42900, PA14_42910, PA14_42920, PA14_42940, PA14_42950, PA14_42960, PA14_42970, PA14_42980, PA14_42990, PA14_43000
3827167	3831188	-	4	PA14_43020, PA14_43030, PA14_43040, PA14_43050
3832600	3840213	+	3	PA14_43080, PA14_43090, PA14_43100
3841020	3842844	-	2	PA14_43110, PA14_43130
3854107	3856250	-	2	PA14_43270, selD
3863676	3867554	-	3	kdpB, kdpA, kdbF
3867742	3869817	-	2	PA14_43420, PA14_43430
3870059	3872377	+	2	PA14_43440, PA14_43460
3872515	3874452	+	2	PA14_43480, PA14_43490
3875737	3877214	-	2	PA14_43520, PA14_43530
3877294	3878963	-	2	PA14_43540, PA14_43550
3879065	3880571	-	2	PA14_43570, PA14_43580
3882913	3884751	-	3	PA14_43620, PA14_43630, gpsA
3887191	3889901	+	2	PA14_43660, PA14_43670
3890090	3891834	+	2	fabA, fabB
3895910	3897276	+	2	PA14_43760, PA14_43770
3897484	3901569	+	3	PA14_43780, PA14_43790, PA14_43810
3903275	3905972	-	2	PA14_43840, htpG
3906090	3908272	-	3	PA14_43870, PA14_43880, PA14_43890
3911275	3913328	-	2	sucD, sucC
3913657	3919265	-	3	lpdG, sucB, sucA
3919522	3922765	-	4	sdhB, sdhA, sdhD, sdhC
3928846	3930598	-	2	PA14_44150, PA14_44160
3933756	3935517	+	2	PA14_44200, PA14_44210
3935985	3938730	+	2	PA14_44240, PA14_44260
3945179	3947057	-	2	PA14_44311, PA14_44320
3947245	3949291	+	2	PA14_44340, PA14_44350
3950769	3953966	+	4	PA14_44370, PA14_44380, PA14_44390, PA14_44400
3954185	3959447	+	5	PA14_44420, PA14_44430, PA14_44440, PA14_44450, PA14_44460
3961719	3963087	+	2	anr, apt
3964572	3965263	+	2	PA14_44520, PA14_44530
3966078	3968545	+	2	PA14_44560, PA14_44570
3970442	3973594	-	3	recR, PA14_44620, dnaX
3979782	3983955	-	2	PA14_44680, PA14_44690
3985489	3991575	+	4	xdhA, xdhB, PA14_44760, PA14_44770
3995127	3997581	+	3	PA14_44830, PA14_44840, alc
3997636	3999471	+	2	PA14_44860, PA14_44880
4000789	4006435	+	4	PA14_44900, PA14_44910, PA14_44920, PA14_44930
4012138	4014791	+	2	gcl, PA14_45010
4016053	4018753	+	2	PA14_45030, pykF
4019120	4021563	+	3	PA14_45060, PA14_45070, PA14_45090
4027729	4031580	+	3	PA14_45170, PA14_45180, PA14_45190
4031588	4034069	-	2	PA14_45210, PA14_45240
4035079	4041144	-	8	PA14_45260, cycH, ccmH, ccmG, ccmF, ccmE, PA14_45340, ccmC
4041267	4042636	-	2	ccmB, ccmA
4042922	4044732	+	2	PA14_45400, PA14_45410
4046909	4048387	-	2	PA14_45450, PA14_45460
4049210	4050127	-	2	PA14_45480, PA14_45500
4051155	4053681	-	3	PA14_45520, motD, motC
4057392	4058574	-	2	cheZ, cheY
4058676	4060258	-	2	fliA, fleN
4060397	4063893	-	2	flhF, flhA
4064032	4066685	-	2	PA14_45700, PA14_45710
4066758	4068942	-	3	flhB, fliR, fliQ
4068987	4072206	-	5	fliP, fliO, fliN, fliM, fliL
4073921	4074927	+	2	PA14_45840, PA14_45850
4074936	4077048	-	2	PA14_45870, PA14_45880
4077152	4081416	-	2	PA14_45890, PA14_45910
4081597	4084263	+	2	PA14_45920, PA14_45930
4096997	4104478	+	6	gbuA, PA14_46080, PA14_46100, PA14_46110, PA14_46120, PA14_46140
4108837	4110979	-	2	PA14_46220, aphA
4111189	4115414	+	3	PA14_46240, PA14_46250, PA14_46260
4124250	4125304	-	2	PA14_46340, PA14_46360
4127099	4127785	-	2	PA14_46380, PA14_46390
4138746	4141240	-	2	PA14_46510, PA14_46520
4146137	4151864	+	4	PA14_46570, PA14_46580, PA14_46590, PA14_46600
4152349	4154124	-	2	PA14_46610, PA14_46620
4155789	4160223	-	4	PA14_46640, PA14_46650, PA14_46660, PA14_46670
4162977	4164063	+	2	PA14_46710, PA14_46720
4164624	4166133	-	2	PA14_46750, PA14_46760
4166280	4167155	+	2	PA14_46770, PA14_46780
4168546	4170536	-	2	PA14_46810, PA14_46820
4179035	4187421	+	7	PA14_46920, PA14_46930, PA14_46950, ggt, ansB, PA14_46980, PA14_46990
4191791	4193007	-	2	PA14_47060, PA14_47070
4196019	4197970	-	2	ilvA2, PA14_47110
4198236	4199140	-	2	PA14_47120, PA14_47130
4201706	4206553	-	5	cyoE, cyoD, cyoC, cyoB, cyoA
4209501	4211259	-	2	PA14_47250, PA14_47260
4212329	4214307	-	2	phnX, phnW
4215345	4217134	-	3	PA14_47320, PA14_47330, PA14_47340
4217820	4220487	+	2	PA14_47360, PA14_47370
4223178	4224685	-	2	PA14_47390, PA14_47400
4227853	4229267	-	2	PA14_47450, rnd
4236144	4237866	-	2	PA14_47560, PA14_47580
4241995	4252792	-	11	cobS, PA14_47660, cobT, cobU, cobQ, cobC, cobD, PA14_47750, cobB, cobO, PA14_47800
4256213	4258269	+	2	PA14_47840, PA14_47850
4265435	4271156	+	6	PA14_47920, PA14_47930, PA14_47940, PA14_47950, PA14_47960, PA14_47970
4279323	4285179	-	4	aprF, aprE, aprD, PA14_48140
4294069	4298166	+	3	PA14_48240, PA14_48280, PA14_48300
4299668	4303079	-	4	PA14_48330, PA14_48340, PA14_48350, PA14_48380
4304556	4306051	-	2	PA14_48410, PA14_48420
4306779	4310961	-	4	PA14_48450, PA14_48460, PA14_48470, PA14_48490
4312055	4313544	+	2	PA14_48510, PA14_48520
4314228	4320933	+	6	PA14_48530, PA14_48540, PA14_48550, PA14_48560, PA14_48570, PA14_48590
4321135	4326833	+	5	PA14_48600, PA14_48610, PA14_48620, PA14_48630, PA14_48640
4330448	4332765	-	2	kefB, PA14_48710
4332925	4334892	-	3	PA14_48730, PA14_48740, PA14_48750
4336875	4338790	-	3	PA14_48780, PA14_48790, PA14_48800
4338856	4341039	-	2	PA14_48810, PA14_48830
4345187	4347501	-	2	PA14_48880, PA14_48890
4347632	4350664	-	4	PA14_48900, PA14_48910, PA14_48920, PA14_48930
4350851	4351919	-	4	coaB, PA14_48950, PA14_48960, PA14_48970
4352054	4353159	-	4	PA14_48980, PA14_48990, PA14_49000, PA14_49010
4357867	4360276	-	2	PA14_49070, PA14_49080
4360378	4362023	-	2	PA14_49090, PA14_49100
4369305	4372007	-	3	phoQ, phoP, oprH
4372229	4376812	+	6	napE, napF, napD, napA, napB, napc
4388570	4390925	+	3	dapE, rrmA, PA14_49400
4402698	4405534	-	2	pyoS3I, pyoS3A
4405954	4407129	+	2	PA14_49530, PA14_49540
4418774	4420588	-	2	PA14_49660, PA14_49680
4425603	4427836	+	2	PA14_49750, rhlC
4427833	4429186	-	2	PA14_49780, PA14_49790
4429321	4430992	+	2	PA14_49800, PA14_49810
4430999	4433261	-	2	PA14_49820, dgt
4434859	4437216	+	3	PA14_49880, PA14_49890, PA14_49900
4445150	4447014	-	2	PA14_50010, PA14_50020
4452098	4457878	-	6	fliJ, fliI, fliH, fliG, fliF, fliE
4458125	4460759	-	2	fleR, fleS
4462626	4463325	-	2	PA14_50240, fliS
4463447	4466873	-	3	fliD, PA14_50280, fliC
4467231	4474314	-	4	PA14_50300, PA14_50310, PA14_50320, PA14_50330
4474369	4481644	-	6	flgL, flgK, flgJ, flgI, flgH, flgG
4482657	4485652	-	4	flgE, flgD, flgC, flgB
4488332	4491973	+	4	braD, livM, livG, braG
4492050	4497304	-	3	PA14_50570, PA14_50590, PA14_50600
4499207	4502000	-	4	PA14_50640, PA14_50650, PA14_50660, PA14_50670
4502114	4507868	-	6	PA14_50680, PA14_50690, PA14_50700, PA14_50710, PA14_50720, PA14_50730
4511775	4514522	-	3	PA14_50790, pdxH, PA14_50810
4515983	4520479	-	2	PA14_50830, dinG
4521112	4522213	-	2	PA14_50860, PA14_50870
4523092	4525085	+	4	PA14_50890, PA14_50900, PA14_50910, PA14_50920
4526078	4526780	+	2	PA14_50940, PA14_50950
4533871	4536802	-	2	PA14_51040, PA14_51050
4537734	4544043	-	6	PA14_51070, PA14_51080, PA14_51090, PA14_51100, PA14_51110, PA14_51120
4546004	4549001	-	2	PA14_51160, pauA
4549111	4550645	-	2	PA14_51190, PA14_51200
4553158	4556680	-	4	purC, PA14_51250, PA14_51260, dapA
4556864	4557906	+	2	PA14_51280, bcp
4557967	4559325	-	2	PA14_51300, PA14_51310
4563788	4565960	-	2	phnB, phnA
4566077	4571469	-	5	pqsE, pqsD, pqsC, pqsB, pqsA
4575244	4576632	-	2	cupC2, cupC1
4580547	4583020	-	2	spcU, exoU
4586665	4587609	-	2	PA14_51600, PA14_51610
4587841	4588991	+	2	PA14_51620, PA14_51630
4589078	4590732	+	2	PA14_51640, PA14_51650
4591238	4600403	-	12	PA14_51670, PA14_51680, PA14_51690, oprL, tolB, tolA, tolR, tolQ, PA14_51770, ruvB, ruvA, ruvC
4600488	4603076	-	2	PA14_51810, aspS
4604863	4605702	-	2	PA14_51850, PA14_51860
4608130	4610810	+	2	proS, PA14_51910
4610827	4611566	-	2	PA14_51920, PA14_51930
4614009	4615376	+	3	PA14_51980, wrbA, PA14_52000
4617733	4620171	+	3	purM, purN, PA14_52060
4620901	4621732	+	3	PA14_52080, PA14_52090, PA14_52110
4628589	4630849	-	2	rumA, cysM
4633563	4635619	-	2	PA14_52240, PA14_52250
4635805	4640510	+	4	PA14_52260, ldhA, PA14_52280, PA14_52290
4644946	4648876	+	2	PA14_52350, PA14_52370
4653174	4654020	+	2	PA14_52430, PA14_52440
4656406	4658181	-	4	PA14_52480, PA14_52490, PA14_52500, PA14_52510
4666044	4672262	-	6	aruE, PA14_52640, aruB, astD, aruG, aruF
4674192	4678527	-	5	argR, aotP, PA14_52760, aotM, aotQ
4682103	4685065	-	3	PA14_52810, PA14_52820, PA14_52840
4685179	4687219	-	2	PA14_52850, PA14_52870
4687275	4690221	-	3	PA14_52880, PA14_52890, PA14_52900
4699090	4700642	+	2	phhB, phhC
4706093	4708123	+	3	PA14_53090, PA14_53100, PA14_53110
4711781	4715144	-	3	PA14_53150, PA14_53160, PA14_53180
4715309	4716176	-	2	bolA, PA14_53200
4717492	4719502	+	2	fumC2, PA14_53230
4730156	4732988	+	2	plcH, plcR
4738624	4742185	+	3	PA14_53450, PA14_53470, pta
4751681	4754795	+	4	PA14_53580, PA14_53590, PA14_53600, PA14_53610
4758490	4760041	+	2	PA14_53650, PA14_53660
4764566	4766244	+	2	PA14_53740, PA14_53750
4766533	4769804	+	3	PA14_53770, PA14_53780, PA14_53790
4771279	4772588	-	2	PA14_53810, PA14_53820
4774608	4775901	-	2	PA14_53850, PA14_53860
4775987	4778360	-	3	PA14_53870, PA14_53880, PA14_53890
4781552	4784401	+	3	PA14_53920, prpB, prpC
4793615	4794494	-	2	PA14_54050, PA14_54070
4798998	4799951	-	2	PA14_54110, PA14_54120
4814332	4816037	+	2	PA14_54260, PA14_54270
4816128	4817568	-	2	pdxJ, recO
4817629	4819602	-	3	era, rnc, PA14_54340
4819772	4822431	-	2	lepB, lepA
4822581	4826653	-	5	mucD, mucC, mucB, mucA, algU
4828647	4829337	-	2	PA14_54460, PA14_54470
4831499	4833545	-	2	PA14_54500, PA14_54510
4833756	4839129	+	5	PA14_54520, PA14_54540, PA14_54550, PA14_54570, PA14_54580
4839255	4841839	-	3	ung, PA14_54600, PA14_54610
4841942	4846671	+	4	PA14_54620, PA14_54630, PA14_54640, PA14_54660
4852842	4853550	-	2	PA14_54740, PA14_54750
4853789	4856662	+	4	PA14_54760, PA14_54770, PA14_54790, PA14_54800
4862635	4866469	-	3	PA14_54880, PA14_54890, PA14_54900
4866692	4871967	-	2	PA14_54910, PA14_54920
4878789	4881058	-	2	PA14_54950, PA14_54960
4881162	4884677	-	2	PA14_54970, PA14_54980
4884920	4888810	+	4	PA14_55000, PA14_55020, PA14_55030, PA14_55040
4891261	4892399	-	2	PA14_55060, PA14_55070
4899424	4900829	+	2	toxR, cat
4902216	4904997	+	2	PA14_55200, PA14_55220
4906701	4911982	-	6	PA14_55250, PA14_55260, PA14_55280, PA14_55290, PA14_55300, PA14_55320
4912050	4916740	-	4	PA14_55330, exbD2, exbB2, PA14_55380
4932324	4940562	-	7	PA14_55430, PA14_55440, PA14_55450, PA14_55460, PA14_55470, PA14_55480, PA14_55490
4941752	4942826	+	2	PA14_55520, PA14_55530
4943865	4945123	-	2	PA14_55550, PA14_55560
4946628	4951673	+	3	PA14_55590, PA14_55600, dnaE2
4957850	4962723	+	2	sbcD, sbcC
4962745	4972880	-	4	recD, recB, recC, PA14_55710
4980026	4983310	-	2	PA14_55780, PA14_55790
4984830	4993999	-	9	PA14_55820, PA14_55840, PA14_55850, PA14_55860, PA14_55880, PA14_55890, PA14_55900, PA14_55920, PA14_55930
5003033	5005900	+	3	PA14_56030, PA14_56040, PA14_56050
5009374	5017087	+	7	PA14_56090, PA14_56100, PA14_56110, PA14_56130, PA14_56140, PA14_56160, PA14_56170
5022880	5024926	-	2	PA14_56260, PA14_56280
5028215	5029128	-	2	PA14_56360, PA14_56370
5029232	5031217	-	2	PA14_56380, PA14_56390
5033978	5038040	-	3	PA14_56450, PA14_56470, PA14_56480
5038856	5042137	-	4	PA14_56520, PA14_56530, PA14_56540, PA14_56550
5042340	5043871	+	2	PA14_56560, PA14_56570
5045603	5048209	+	3	PA14_56620, PA14_56640, PA14_56660
5048269	5051056	-	3	PA14_56670, feoB, feoA
5055897	5056902	+	2	PA14_56750, PA14_56770
5060075	5061551	-	2	PA14_56800, PA14_56810
5063248	5066848	+	3	PA14_56840, PA14_56850, PA14_56870
5072714	5076376	-	5	PA14_56910, inaA, PA14_56930, PA14_56940, PA14_56950
5077330	5078062	-	2	PA14_56970, PA14_56980
5079035	5081022	-	2	groEL, groES
5085536	5087746	+	2	PA14_57080, PA14_57100
