Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression 222	Expression 151	Expression 154	Expression 271	Expression 544	Expression 568	qValue 222 vs 151	qValue 222 vs 154	qValue 222 vs 271	qValue 222 vs 544	qValue 222 vs 568	qValue 151 vs 154	qValue 151 vs 271	qValue 151 vs 544	qValue 151 vs 568	qValue 154 vs 271	qValue 154 vs 544	qValue 154 vs 568	qValue 271 vs 544	qValue 271 vs 568	qValue 544 vs 568
778273	778276	779664	779664	+	-	PA14_09195	major facilitator transporter	52	43	54	47	44	37	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9637931692632062	1.0	1.0	1.0	1.0	1.0	1.0
779665	779681	780178	780178	+	ssb	PA14_09200	single-stranded DNA-binding protein	168	214	152	151	175	135	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7670878717379973	1.0	1.0	1.0	1.0	1.0	1.0
	781697	780267	780267	-	pchA	PA14_09210	salicylate biosynthesis isochorismate synthase	86	227	85	251	249	207	0.4601970050045463	1.0	0.2384216313263317	0.2538409542214013	0.5937253348579724	0.6774059576488867	1.0	1.0	0.9903226631520243	0.3201602532538565	0.30880206731840526	0.5281856889320711	1.0	1.0	1.0
	781999	781694		-	pchB	PA14_09220	isochorismate-pyruvate lyase	74	255	61	287	254	217	2.9439182507755095E-4	1.0	1.1646074526821094E-5	3.38232572292482E-4	0.00899389529980857	7.134851903882027E-9	1.0	1.0	0.9610226851078746	2.4232536745473782E-12	4.141072952886968E-9	1.908461690060508E-6	1.0	1.0	1.0
	782754	781999		-	pchC	PA14_09230	pyochelin biosynthetic protein PchC	35	97	33	176	134	96	0.019463130103601928	1.0	5.639456430905834E-10	4.2042849668516875E-5	0.02973600896915351	0.0038266019488394916	1.0	1.0	0.9903226631520243	1.625436144667559E-14	2.156862202493363E-7	0.0016850256892241076	1.0	1.0	1.0
784394	784394	782751		-	pchD	PA14_09240	pyochelin biosynthesis protein PchD	40	132	42	294	194	118	0.007836445843561211	1.0	1.4433283200268132E-19	4.27479702623742E-7	0.04687387303411602	0.03980807694674226	1.0	1.0	0.9903226631520243	5.4346758766718196E-17	4.272071219655887E-6	0.06285946919396981	1.0	1.0	1.0
	784624	785514		+	pchR	PA14_09260	transcriptional regulator PchR	19	54	23	62	50	33	0.007773202100445117	1.0	6.751755365535601E-4	0.021837601095621117	0.8200388019747528	0.06927040972514717	1.0	1.0	0.4483560907445268	0.007690112496738125	0.0989817206606361	1.0	1.0	0.3473914647842879	0.9614803869843405
785708	785708	790024		+	pchE	PA14_09270	dihydroaeruginoic acid synthetase	93	238	99	295	291	193	1.0	1.0	0.7263295100177929	0.926892229934369	1.0	1.0	1.0	1.0	0.9903226631520243	0.8058127838154925	0.7929405851753881	1.0	1.0	1.0	1.0
	790021	795450		+	pchF	PA14_09280	pyochelin synthetase	119	233	111	192	242	210	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	795447	796496		+	pchG	PA14_09290	pyochelin biosynthetic protein PchG	153	255	120	203	253	257	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	0.7604716744555499	1.0	1.0	1.0
	796493	798205		+	-	PA14_09300	ABC transporter ATP-binding protein	97	147	72	117	159	145	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	0.961102720673846	0.8590623455394252	1.0	1.0	1.0
	798202	799926	799926	+	-	PA14_09320	ABC transporter ATP-binding protein	173	223	129	171	239	216	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
800002	800018	802180		+	fptA	PA14_09340	Fe(III)-pyochelin outer membrane receptor	101	329	102	665	468	190	0.40117133214084116	1.0	3.5233341998907816E-6	0.01267049861029045	1.0	0.5820480814717313	1.0	1.0	0.9985539912146407	2.777933389739513E-6	0.012993985166879714	1.0	1.0	0.5135754031855302	1.0
	802180	802461	802715	+	-	PA14_09350	hypothetical protein	153	314	162	561	477	256	0.395977757188198	1.0	3.441476531809836E-4	0.007311706196233971	0.7266228029002495	0.6845825815374822	1.0	1.0	0.9306629108724813	8.256473284396098E-4	0.013803620739049309	0.783868758831106	1.0	0.6217122242424361	1.0
802780	802793	803968		+	-	PA14_09370	hypothetical protein	59	92	45	145	154	78	1.0	1.0	0.1841284982743539	0.12656007129668786	1.0	0.7148061205840259	1.0	1.0	0.9531098971916475	0.009001360018084775	0.0029466955357757003	0.6569088779603665	1.0	1.0	1.0
	803961	805205	805298	+	-	PA14_09380	transporter	110	137	56	137	170	123	1.0	0.8406347168863659	1.0	1.0	1.0	0.4154825628040977	1.0	1.0	0.9866686990263908	0.312532181077631	0.044629590731134726	0.37720687460930197	1.0	1.0	1.0
806518	806518	805310	805310	-	phzS	PA14_09400	hypothetical protein	943	51	51	63	97	678	5.811826857377214E-125	5.499454902681876E-180	1.8601317522550144E-82	3.416188869766996E-17	1.0	1.0	1.0	1.0	1.7026958620446525E-57	1.0	0.7936463466831937	3.594252994810864E-82	1.0	2.4360423250243077E-37	1.574471971978593E-7
807525	807503	806856	806519	-	phzG1	PA14_09410	pyrodoxamine 5'-phosphate oxidase	907	10	30	58	70	705	0.0	0.0	3.009181221594856E-144	1.3365777443837319E-62	1.0	2.820799021673447E-4	9.622942293603433E-25	1.7150163646100662E-37	0.0	0.27119791872259597	0.03193945731913503	0.0	1.0	8.77967308420865E-80	3.202910861263782E-34
808375	808362	807526	807526	-	phzF1	PA14_09420	phenazine biosynthesis protein	899	10	27	57	72	708	0.0	0.0	8.552591287233287E-121	3.6353275076211195E-47	1.0	0.008689347180462192	9.328719956658454E-20	2.8701826519690276E-34	0.0	0.1581416275258483	0.008836387615562276	0.0	1.0	9.66728744659171E-69	1.6719272865102057E-26
	810259	808376	808376	-	phzE1	PA14_09440	phenazine biosynthesis protein PhzE	1250	15	44	94	98	969	0.0	0.0	1.0336155532510143E-43	6.984665868242634E-26	1.0	0.11104487436119807	2.557080131073195E-11	1.2182652796746344E-12	0.0	0.7081921784757357	0.6148643152508135	7.32204911393192E-236	1.0	1.2211635173515196E-23	8.098161938111966E-14
	810879	810256		-	phzD1	PA14_09450	phenazine biosynthesis protein PhzD	968	6	21	69	82	748	0.0	0.0	1.7058772204941611E-105	3.974382077445653E-46	1.0	5.469076275242746E-6	3.360633794892438E-116	1.0907820624813382E-170	0.0	1.9831810518196003E-5	3.670207562310997E-8	0.0	1.0	6.968976902962419E-57	9.49725536977534E-25
812093	812093	810876		-	phzC1	PA14_09460	phenazine biosynthesis protein PhzC	1244	8	39	59	72	832	0.0	0.0	2.520925305694145E-186	3.610523449631876E-84	1.0	4.5219993570023246E-12	5.186591786490692E-35	1.5279147488388432E-54	0.0	1.0	0.6743458277988792	3.4152139735435447E-307	1.0	5.010140033859769E-72	2.714429517710805E-32
812617	812617	812129	812094	-	phzB1	PA14_09470	phenazine biosynthesis protein	528	1	11	17	43	415	0.0	0.0	0.0	4.7324826626498205E-79	1.0	1.8257917127834997E-18	1.2230646664367847E-59	0.0	0.0	0.662047821382403	6.052726095620978E-14	0.0	0.007837299500719366	0.0	3.0103849200567165E-44
813452	813135	812647	812618	-	phzA1	PA14_09480	phenazine biosynthesis protein	123	0	7	7	6	95	0.0	0.0	0.0	0.0	1.0	1.9166148058662993E-221	8.388199894667584E-261	7.570841158078759E-173	0.0	1.0	1.0	6.985474162721537E-185	1.0	1.0533788836445064E-249	5.496348051795804E-287
813780	813831	814835	814835	+	phzM	PA14_09490	phenazine-specific methyltransferase	284	14	40	33	33	358	2.195655707327253E-299	3.531883601593986E-24	2.035983907261225E-37	1.634521701283738E-29	1.0	0.022810413312652617	0.15300548842247375	0.22157129196315387	0.0	1.0	1.0	2.2416848695163313E-42	1.0	5.587547077572482E-65	2.212056694525604E-51
	816309	814846	814836	-	opmD	PA14_09500	outer membrane protein	488	22	35	30	31	605	8.639845751833138E-244	5.132799650557381E-104	9.286410880335126E-150	6.10741822397083E-95	1.0	1.0	1.0	1.0	0.0	1.0	1.0	2.3350985968254765E-173	1.0	9.772507408857377E-249	6.390141494249039E-158
819407	819395	816306		-	mexI	PA14_09520	RND efflux transporter	340	17	16	17	17	366	3.110908199674761E-142	9.635658283969083E-248	3.5840245295821936E-179	1.6709182328407617E-144	1.0	1.0	1.0	1.0	2.278419587088991E-167	1.0	1.0	2.6512198059572766E-294	1.0	1.8289368493269954E-214	2.136931702512975E-171
820527	820520	819408	819408	-	mexH	PA14_09530	RND efflux membrane fusion protein	286	14	11	12	11	301	2.0371738681417862E-284	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
821043	820974	820528	820528	-	mexG	PA14_09540	hypothetical protein	330	22	15	18	16	315	1.404601845178428E-178	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.7890351134082007E-159	1.0	1.0	0.0	1.0	0.0	0.0
822791	822791	821625	821529	-	-	PA14_09550	hypothetical protein	48	39	39	37	48	42	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.995579579487376	1.0	1.0	1.0	1.0	1.0	1.0
823725	823725	822871	822792	-	-	PA14_09570	LysR family transcriptional regulator	25	22	20	21	22	28	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
823833	823833	824888	824983	+	-	PA14_09580	hypothetical protein	32	38	26	23	35	33	1.0	1.0	0.9876581352360437	1.0	1.0	1.0	0.7496084884844949	1.0	0.9870886244440817	1.0	1.0	1.0	1.0	1.0	1.0
824984	824984	826024	826063	+	ddlA	PA14_09600	D-alanine--D-alanine ligase	190	149	147	130	138	189	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
827009	826930	826064	826064	-	-	PA14_09610	hypothetical protein	65	58	57	32	54	52	1.0	1.0	0.21208088808857412	1.0	1.0	1.0	0.5322237943399593	1.0	0.9898983397887358	0.7295869541682269	1.0	1.0	1.0	1.0	1.0
829036	828919	827138	827131	-	-	PA14_09630	acyl-CoA dehydrogenase	154	118	120	59	88	96	1.0	1.0	0.3225884403693077	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
830702	830659	829037	829037	-	-	PA14_09660	acyl-CoA synthetase	105	97	92	50	78	65	1.0	1.0	0.6235397213480546	1.0	0.9904105610918476	1.0	1.0	1.0	0.9110944023132469	1.0	1.0	1.0	1.0	1.0	1.0
830905	830905	833181	833181	+	-	PA14_09680	two-component sensor	71	70	62	41	69	58	1.0	1.0	0.926570341538847	1.0	1.0	1.0	1.0	1.0	0.9702670513828373	1.0	1.0	1.0	1.0	1.0	1.0
833182	833184	833828	833832	+	-	PA14_09690	two-component response regulator	109	109	100	81	117	121	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9941338349082152	1.0	1.0	1.0	1.0	1.0	1.0
835038	835038	833833	833833	-	-	PA14_09700	monooxygenase	57	73	52	46	68	58	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9114489141980954	1.0	1.0	1.0	1.0	1.0	1.0
	836696	835206		-	-	PA14_09710	aldehyde dehydrogenase	7	6	5	5	6	6	1.0	1.0	0.47978971165485246	1.0	0.9787478381787649	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	837600	836689		-	-	PA14_09730	dihydrodipicolinate synthase	6	6	5	3	5	5	1.0	1.0	0.023633074356387746	1.0	1.0	1.0	0.11098136759646032	1.0	0.9903226631520243	0.6207781168641029	1.0	1.0	1.0	0.4240859708001665	1.0
	838993	837665		-	-	PA14_09740	MFS transporter	7	7	7	7	6	7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9941338349082152	1.0	1.0	1.0	1.0	1.0	1.0
840541	840448	839129	839032	-	-	PA14_09750	oxidoreductase	70	64	85	74	60	62	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	841270	840542	840542	-	-	PA14_09760	GntR family transcriptional regulator	22	20	22	19	17	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
841579	841579	842601	842601	+	-	PA14_09770	AraC family transcriptional regulator	37	37	33	37	41	38	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
842627	842627	843094	843094	+	-	PA14_09780	hypothetical protein	36	40	39	29	36	37	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
843736	843736	843098	843095	-	-	PA14_09790	transcriptional regulator	54	72	53	52	58	52	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7871333346562233	1.0	1.0	1.0	1.0	1.0	1.0
	844483	843764		-	-	PA14_09810	hypothetical protein	26	22	23	22	20	18	1.0	1.0	1.0	1.0	0.8095302331298947	1.0	1.0	1.0	0.9293657839626712	1.0	1.0	1.0	1.0	1.0	1.0
844781	844784	846427	846469	+	-	PA14_09820	acetolactate synthase	84	81	68	73	84	76	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9866686990263908	1.0	1.0	1.0	1.0	1.0	1.0
847765	847765	846470	846470	-	-	PA14_09850	porin	40	31	31	29	32	36	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	848746	848003		-	-	PA14_09870	hypothetical protein	5	5	6	5	3	4	1.0	1.0	1.0	0.6255331108633622	1.0	1.0	1.0	1.0	0.9165197058010278	1.0	0.5232389383000056	0.9477751396991695	1.0	1.0	1.0
	849247	848846		-	-	PA14_09880	hypothetical protein	4	4	4	5	5	4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9673721253558536	1.0	1.0	1.0	1.0	1.0	1.0
849390	849390	849671	849694	+	ppiC2	PA14_09890	peptidyl-prolyl cis-trans isomerase C2	230	336	233	214	268	196	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5717002092231446	1.0	1.0	1.0	1.0	1.0	1.0
851380	851380	849992	849820	-	prpL	PA14_09900	Pvds-regulated endoprotease, lysyl class	93	141	93	141	125	148	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
852836	852836	851913	851853	-	-	PA14_09910	transcriptional regulator	36	55	44	63	51	57	1.0	1.0	0.6055760924668437	1.0	0.9980960317118148	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	852977	853375		+	-	PA14_09920	translation initiation inhibitor	4	5	2	3	3	3	1.0	0.09663671124800129	1.0	1.0	1.0	0.014986345422972438	1.0	1.0	0.6282437223255503	0.46399436183076254	0.5645624538995073	0.6449164127779531	1.0	1.0	1.0
	854207	853407		-	-	PA14_09930	exonuclease III	9	12	11	12	12	9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7095938388385213	1.0	1.0	1.0	1.0	1.0	0.9512339566560587
854793	854793	854230		-	-	PA14_09940	protease	19	32	32	28	27	22	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7106688614228115	1.0	1.0	1.0	1.0	1.0	1.0
	855861	854929		-	-	PA14_09950	oxidoreductase	17	13	15	20	18	16	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	855942	856370		+	-	PA14_09960	hypothetical protein	12	13	14	13	12	9	1.0	1.0	1.0	1.0	0.8488065835068137	1.0	1.0	1.0	0.7871333346562233	1.0	1.0	0.939783836638514	1.0	1.0	1.0
858843	858843	856435	856429	-	fpvB	PA14_09970	type I ferripyoverdine receptor, FpvB	27	28	28	40	26	29	1.0	1.0	0.954198538817879	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	859186	860004		+	dkgB	PA14_09980	2,5-diketo-D-gluconate reductase B	3	3	2	6	3	2	1.0	1.0	0.3641049069424894	1.0	0.9272075419935567	1.0	0.7452628545813966	1.0	0.6065037559562059	6.261438189341218E-4	1.0	1.0	0.931517458056999	4.769557080749557E-5	1.0
	860512	860054		-	-	PA14_09990	acetyltransferase	3	4	3	4	4	6	1.0	1.0	1.0	1.0	0.9398616384927797	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	0.18063687338408743	1.0	1.0	1.0
860644	860644	862134	862134	+	-	PA14_10010	transcriptional regulator	28	27	22	23	26	24	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
862476	862476	862150	862135	-	-	PA14_10020	hypothetical protein	61	76	53	52	74	66	1.0	1.0	1.0	1.0	1.0	1.0	0.9581628789798018	1.0	0.9644322707763724	1.0	1.0	1.0	1.0	1.0	1.0
864329	864247	862538	862538	-	-	PA14_10040	amidase	66	86	61	54	75	56	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8668433941547329	1.0	1.0	1.0	1.0	1.0	1.0
	864931	864434		-	-	PA14_10050	hypothetical protein	3	4	3	4	4	4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9124911071971152	1.0	1.0	1.0	1.0	1.0	1.0
	865931	864945		-	-	PA14_10070	zinc-dependent oxidoreductase	6	5	4	5	6	6	1.0	0.7032618005461908	0.8918653998306303	1.0	1.0	1.0	1.0	1.0	0.9955915553035619	1.0	0.7290008802817025	0.9440786857921358	1.0	1.0	1.0
866439	866321	865944	865944	-	-	PA14_10080	hypothetical protein	24	23	22	33	21	26	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
866440	866440	867351	867361	+	-	PA14_10090	LysR family transcriptional regulator	46	40	47	41	44	45	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9967895096763008	1.0	1.0	1.0	1.0	1.0	1.0
	868546	867362		-	-	PA14_10110	transporter	10	10	10	11	8	12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	869571	868642		-	-	PA14_10120	LysR family transcriptional regulator	24	21	24	21	18	19	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
869708	869711	870427	870436	+	-	PA14_10130	short chain dehydrogenase	33	29	31	33	31	30	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	871468	870437	870437	-	fepG	PA14_10140	ferric enterobactin transport protein FepG	16	13	13	19	14	11	1.0	1.0	1.0	1.0	0.9058331400616506	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	0.7668305586813716	1.0
	872487	871465		-	fepD	PA14_10160	ferric enterobactin transport protein FepD	2	4	2	11	6	1	0.8294836614587461	1.0	3.0486632962860624E-16	0.004763100730717154	0.8257216974545053	1.0	4.89748027223376E-5	1.0	3.11886076481557E-4	4.17920459934032E-11	0.06629344406780412	0.3719540408448018	0.7043814120944514	5.568550146943515E-60	7.35548789655022E-12
	873423	872518		-	fepB	PA14_10170	iron-enterobactin transporter periplasmic binding protein	5	12	6	49	20	5	0.05978574091969693	1.0	8.447571025298142E-57	1.6447395464025295E-6	1.0	0.0666153601356575	1.1097458270752168E-6	1.0	0.002535906802933666	1.8119434740401828E-66	1.8027110786811367E-7	1.0	0.23710043763867672	6.371834859147964E-94	1.1237313177267161E-10
	873549	874346		+	fepC	PA14_10180	ferric enterobactin transport protein FepC	5	10	4	14	12	7	0.7603288349169869	1.0	0.01344329145938226	0.03961839669181467	1.0	0.06982049876485612	1.0	1.0	0.8267904199231224	1.2650681532127755E-5	1.7267831037611283E-4	0.7605755595261968	1.0	0.07105955108456695	0.19287964412816452
	875141	874353		-	-	PA14_10190	transcriptional regulator	23	26	22	25	23	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9054497460885311	1.0	1.0	1.0	1.0	1.0	1.0
	875397	877481		+	-	PA14_10200	TonB-dependent receptor protein	7	11	7	19	11	8	1.0	1.0	0.07117100881545428	1.0	1.0	1.0	1.0	1.0	0.7871333346562233	0.01306012489256878	1.0	1.0	1.0	0.023389996109758438	1.0
	877549	878856		+	-	PA14_10210	oxidoreductase	3	5	3	6	5	4	1.0	1.0	0.22524067822858818	1.0	1.0	1.0	1.0	1.0	0.9557472991682663	0.11947982077821741	1.0	1.0	1.0	0.8040511251434957	1.0
	879293	879961		+	-	PA14_10220	SH3 domain-containing protein	9	7	13	7	9	5	1.0	1.0	0.9562297828381172	1.0	0.28196243123772086	0.44881632280413314	1.0	1.0	0.9610226851078746	0.2656099995136907	1.0	0.0036081675567184845	1.0	1.0	0.47190857261312735
	881136	880045		-	adh	PA14_10230	2,3-butanediol dehydrogenase	5	6	6	5	6	5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9552719645325569	1.0	1.0	1.0	1.0	1.0	1.0
	882262	881150		-	-	PA14_10240	branched-chain alpha-keto acid dehydrogenase subunit E2	10	9	8	11	9	11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	883278	882259		-	acoB	PA14_10250	acetoin catabolism protein AcoB	11	12	11	14	11	10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9796700633690519	1.0	1.0	1.0	1.0	1.0	1.0
884285	884285	883311	883311	-	-	PA14_10260	dehydrogenase E1 component	27	25	29	43	30	32	1.0	1.0	0.9367153658489786	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	885348	884308		-	-	PA14_10270	hypothetical protein	12	12	12	11	12	10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9898983397887358	1.0	1.0	1.0	1.0	1.0	1.0
	886145	885345		-	-	PA14_10280	short-chain dehydrogenase	8	9	9	7	8	10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9911884050858921	1.0	1.0	1.0	1.0	1.0	1.0
886472	886477	888354	888403	+	acoR	PA14_10290	transcriptional regulator AcoR	68	79	81	82	73	96	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	888559	889170		+	-	PA14_10300	efflux protein	15	12	12	13	12	17	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9557472991682663	1.0	1.0	1.0	1.0	1.0	1.0
890106	890047	889157		-	-	PA14_10320	transcriptional regulator	33	27	23	24	23	28	1.0	1.0	0.9792269114709193	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	891558	890143		-	-	PA14_10330	outer membrane protein	28	6	6	20	15	37	3.373863994302699E-14	9.778662489740947E-12	1.0	0.7951007255144978	1.0	1.0	7.0720586202224595E-6	0.0055711874617173085	5.308495046479717E-27	6.952422165199227E-5	0.010900098960543772	1.1093257675639527E-22	1.0	0.5926203669855861	0.2496753318313412
893726	893717	891558		-	-	PA14_10340	toxin transporter	38	7	10	24	16	37	6.424631674352108E-16	2.503904832843615E-7	0.9538657398916879	0.23926360744896255	1.0	1.0	7.945494759677828E-5	0.0938633645866384	8.643256582522603E-15	0.028518952573343352	0.6329965853167829	5.840975877972436E-7	1.0	1.0	0.4567103180546957
895071	894983	893727	893727	-	-	PA14_10350	secretion protein	84	7	13	41	30	78	1.8387188588622664E-103	1.1660873143275123E-27	0.4972218797380252	0.07968956943891782	1.0	1.0	5.008095547554205E-19	9.447514967658344E-9	3.298213279549935E-87	6.482124019168864E-5	0.023908786981974472	2.39372325095505E-23	1.0	0.8524742222048362	0.23396603560301882
895383	895379	895080	895072	-	-	PA14_10360	hypothetical protein	6793	234	525	3591	3008	10535	0.0	8.127468457609763E-45	1.0	1.0	1.0	1.0	5.563366305182331E-77	2.037605290203199E-50	0.0	2.222202033208298E-9	4.34047759608579E-6	7.201013444780842E-128	1.0	1.0	1.0
895384			895404	?	-	predicted RNA	-	1121	33	42	324	234	1288	0.0	0.0	1.8513510981918493E-8	5.9754662215896E-19	1.0	1.0	1.583216588144528E-72	1.7969697768313793E-33	0.0	2.2794987307215956E-63	8.415640699855979E-29	0.0	1.0	9.282442620197691E-12	4.3412548164070296E-26
	897481	895688		-	-	PA14_10370	hypothetical protein	11	6	6	7	5	10	0.4526031632064266	0.7225030547876812	0.6623219723144483	0.30641861020699107	1.0	1.0	1.0	1.0	0.8428780622311963	1.0	1.0	1.0	1.0	1.0	1.0
897912	897912	897613		-	-	PA14_10380	hypothetical protein	32	26	11	17	21	37	1.0	2.471628940759159E-4	0.037061143473090405	0.9845689925902057	1.0	0.06727556887417017	0.859454101214989	1.0	0.8763897452836352	1.0	0.3433039188325982	7.191626722146412E-6	1.0	0.01152774818326348	0.9633843152310988
	898251	898045		-	-	PA14_10400	hypothetical protein	1	0	0	1	0	1	3.0937954590910665E-17	0.06472852726014817	1.0	0.22905729636877034	0.8661200464426427	0.05487429514832083	4.172945108138013E-15	1.6496385942530603E-4	4.6935715440553646E-12	0.2861969863875149	1.0	0.7445829844782381	1.0	1.0	1.0
	898562	898269		-	-	PA14_10410	hypothetical protein	0	0	0	0	0	0	0.01399590754159699	0.0171117677592135	0.820830759295225	5.994126816888918E-8	0.6397044326926143	1.0	0.5322237943399593	0.9373232978083256	0.8413450867164811	0.2285620246540603	1.0	0.6144180780222059	0.0026956288957837565	1.0	0.02472555633397458
	898671	899909		+	tyrS	PA14_10420	tyrosyl-tRNA synthetase	5	6	4	6	5	4	1.0	1.0	1.0	1.0	0.4627605516287619	0.984480306147076	1.0	1.0	0.2102913264385482	1.0	1.0	1.0	1.0	0.6253040397872139	1.0
	901194	899938		-	-	PA14_10440	porin	15	11	14	15	12	13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9911884050858921	1.0	1.0	1.0	1.0	1.0	1.0
901553	901559	902767	902772	+	-	PA14_10470	MFS transporter	60	36	53	50	43	45	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
902853	902853	903275	903278	+	-	PA14_10480	transcriptional regulator	69	52	65	66	57	58	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9967895096763008	1.0	1.0	1.0	1.0	1.0	1.0
903539	903533	903291	903279	-	-	PA14_10490	hypothetical protein	331	279	304	347	333	302	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9980904886333976	1.0	1.0	1.0	1.0	1.0	1.0
905103	905044	903617	903595	-	-	PA14_10500	cbb3-type cytochrome c oxidase subunit I	624	653	556	611	750	522	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
906809	906723	905308	905214	-	-	PA14_10530	GntR family transcriptional regulator	895	854	805	1222	1038	972	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
906810			906820	?	-	predicted RNA	-	689	713	542	814	811	737	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	0.6984147617834519	1.0	1.0	1.0	1.0
